Z,A,E,Theta,omega,E_omega,cos_Theta,E_ela,E_inela
20,40,0.12,90.0,0.0125,0.0258,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,90.0,0.0175,0.024599999999999997,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,90.0,0.0225,0.0234,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,90.0,0.0275,0.022199999999999998,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,90.0,0.0325,0.020999999999999998,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,90.0,0.0375,0.019799999999999995,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,90.0,0.0425,0.0186,6.123233995736766e-17,0.01359041875477788,0.3133107392621536
20,40,0.12,140.0,0.0125,0.04556394663246963,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0175,0.043444693300726846,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0225,0.04132543996898408,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0275,0.039206186637241305,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0325,0.03708693330549853,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0375,0.03496767997375576,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0425,0.03284842664201298,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0475,0.03072917331027021,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.12,140.0,0.0525,0.02860991997852744,-0.7660444431189779,0.022085230611233683,0.29787849772292546
20,40,0.13,140.0,0.0108,0.054733249381143365,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.012,0.05418224351489025,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0215,0.049820113740386376,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0252,0.04812117898610591,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0278,0.04692733294255749,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0322,0.044906978099629374,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0385,0.04201419730180049,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.049,0.03719289597208568,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0543,0.03475928672946773,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0596,0.03232567748684978,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0649,0.029892068244231827,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.13,140.0,0.0755,0.02502484975899592,-0.7660444431189779,0.025527950731970252,0.2971552788288476
20,40,0.15,90.0,0.0014,0.04457999999999999,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.005,0.0435,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.0115,0.04154999999999999,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.0176,0.03972,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.0238,0.03785999999999999,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.03,0.036000000000000004,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.0362,0.03414,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.0423,0.03231,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.15,90.0,0.0485,0.030449999999999998,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
20,40,0.16,60.0,0.0125,0.023599999999999996,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0175,0.0228,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0225,0.022,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0275,0.021200000000000004,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0325,0.02039999999999999,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0375,0.019599999999999992,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0425,0.0188,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0475,0.018,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0525,0.017199999999999997,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0575,0.0164,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,60.0,0.0625,0.015600000000000003,0.5000000000000001,0.012554312111968767,0.3240333277754347
20,40,0.16,90.0,0.0125,0.047200000000000006,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0175,0.04560000000000001,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0225,0.044000000000000004,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0275,0.04240000000000001,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0325,0.040799999999999996,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0375,0.0392,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0425,0.0376,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0475,0.036000000000000004,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0525,0.0344,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0575,0.03280000000000001,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0625,0.031200000000000006,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0675,0.029599999999999998,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0725,0.028,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,90.0,0.0775,0.026400000000000003,6.123233995736766e-17,0.023281828351082695,0.31209896595942055
20,40,0.16,140.0,0.0075,0.08618296882420613,-0.7660444431189779,0.03699317968553269,0.2968450875998449
