cross_section_norm,cross_section_denorm
2.231116,10800.948
1.708582,8551.478
1.1914113,6325.0947
0.6852079,4145.926
0.1821303,1980.2135
-0.26731515,45.38338
-0.3185688,-175.25981
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
4.022906,18514.475
3.6298354,16822.334
2.876431,13578.981
2.26456,10944.922
1.6604815,8344.407
1.0586264,5753.466
0.451194,3138.513
-0.09222499,799.1338
-0.32156813,-188.1718
8.408951,37396.08
7.529268,33609.105
6.6377463,29771.172
5.740453,25908.389
4.9055862,22314.35
4.1474495,19050.625
3.3577418,15650.99
2.4388976,11695.433
1.2661905,6647.014
0.35724798,2734.0823
-0.1290697,640.52
2.8685665,13545.126
2.3278496,11217.379
1.8615334,9209.922
1.388765,7174.688
0.90836924,5106.619
0.4276936,3037.3457
-0.01375193,1136.9547
-0.280753,-12.465497
-0.30774617,-128.66924
-0.27758843,1.1576717
-0.26059753,74.30232
-0.24487507,141.98628
-0.2600276,76.75581
-0.2600276,76.75581
-0.21199478,283.5336
-0.21624565,265.23392
-0.22021975,248.12569
-0.22501037,227.50246
-0.24995825,120.10359
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.20760396,302.43576
-0.2128238,279.96475
-0.22314698,235.52419
-0.23646265,178.20119
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.20627409,308.16074
-0.20600191,309.3325
-0.20488185,314.15427
-0.20283832,322.9515
-0.20028734,333.93326
-0.20001942,335.08664
-0.21211739,283.00577
-0.22082753,245.50923
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
6.5123816,29231.486
5.614916,25367.96
4.7086887,21466.719
3.924563,18091.115
3.1803122,14887.168
2.4408035,11703.638
1.7198758,8600.096
1.137806,6094.328
0.685452,4146.9766
0.2571213,2303.0442
-0.13820423,601.19653
-0.23285034,193.7519
-0.27768287,0.75117755
-0.2604958,74.74019
-0.2406775,160.05647
-0.21130802,286.49008
-0.19877255,340.4543
-0.2009622,331.02805
2.4863918,11899.892
2.036727,9964.117
1.6109396,8131.134
1.1198126,6016.8677
0.64099187,3955.579
0.22801329,2177.7363
-0.073094346,881.48987
-0.2649418,55.60042
-0.30366695,-111.108444
-0.28102088,-13.618817
-0.2534495,105.07405
-0.23768356,172.9452
-0.2176402,259.23044
-0.20985621,292.73996
-0.21280894,280.02872
-0.21562195,267.9189
-0.21778515,258.60648
-0.22082932,245.50154
-0.22307965,235.81404
-0.22727305,217.76173
-0.23599994,180.19313
-0.2553162,97.03804
2.737682,12981.678
2.2705524,10970.719
1.2288687,6486.346
0.24751018,2261.669
-0.2743377,15.151813
-0.27519852,11.446124
-0.2288652,210.90761
-0.2116869,284.85904
-0.21735471,260.45944
-0.20564847,310.85403
-0.2061824,308.55545
-0.20549446,311.517
-0.20307714,321.92337
-0.20092015,331.20908
-0.19895118,339.68533
-0.19728419,346.8616
-0.20116764,330.14365
-0.20716728,304.31564
-0.21238193,281.86697
-0.21646169,264.30386
-0.22135074,243.25685
-0.23313442,192.52895
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.21290478,279.61612
-0.20933911,294.96603
-0.20555624,311.251
-0.20567414,310.7435
-0.20140879,329.1055
-0.19736752,346.5029
-0.20333156,320.82816
-0.2134705,277.1807
-0.22404066,231.67696
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
-0.2600276,76.75581
3.950718,18203.71
3.2248507,15078.903
2.51291,12014.05
1.7645067,8792.229
1.0361747,5656.8125
0.4701122,3219.9546
0.020239213,1283.284
-0.19261494,366.96237
-0.2645095,57.461506
-0.29965493,-93.83696
-0.31360644,-153.89726
-0.31792074,-172.47002
-0.3184184,-174.61247
-0.3188879,-176.63347
-0.32486495,-202.3643
-0.33046058,-226.45305
-0.32711434,-212.04778
-0.31281063,-150.47136
-0.31049442,-140.50029
-0.30832615,-131.16594
-0.30677113,-124.471725
-0.30495465,-116.6519
0.7302517,4339.8364
0.4644584,3195.6155
0.21117494,2105.2485
-0.002810141,1184.0582
-0.16626686,480.389
-0.2358824,180.69911
-0.30422804,-113.52385
-0.3133561,-152.8195
-0.28013098,-9.787763
-0.24573025,138.30489
-0.22438157,230.20937
-0.2227772,237.11604
-0.22064933,246.27638
-0.21810512,257.22903
-0.21521288,269.6799
-0.21270569,280.47318
-0.21021888,291.17874
-0.20700695,305.00583
-0.2056036,311.04715
-0.20626304,308.20834
-0.20419374,317.1165
-0.200872,331.41635
-0.19755036,345.7158
-0.1952402,355.66086
-0.18223587,411.6436
-0.16694883,477.45316
-0.15253356,539.50977
-0.13756649,603.94196
-0.22256239,238.04079
-0.21997245,249.19032
-0.21738254,260.3397
-0.21518448,269.80215
-0.21309721,278.7877
-0.21100998,287.7731
-0.20892273,296.75858
-0.20620564,308.4554
-0.20556968,311.19315
-0.20608602,308.97037
-0.20576885,310.3358
-0.20353596,319.9482
-0.20130308,329.56058
-0.19931664,338.1121
-0.19762743,345.384
-0.2024968,324.42172
-0.20645654,307.37534
-0.20993374,292.40622
-0.21357991,276.70975
-0.21627834,265.09317
-0.21950567,251.19978
