Z,A,E,Theta,omega,E_omega,cos_Theta,E_ela,E_inela
2,4,0.15,60.0,0.02,0.0195,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.025,0.018749999999999996,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.03,0.018,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.035,0.01724999999999999,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.04,0.016499999999999997,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,75.0,0.025,0.02779428580865547,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.03,0.026682514376309256,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.035,0.02557074294396303,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.04,0.024458971511616814,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.045,0.023347200079270596,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.05,0.022235428646924377,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.055,0.021123657214578158,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.06,0.02001188578223194,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.065,0.01890011434988572,0.25881904510252074,0.015871155674862077,0.31810815155417294
2,4,0.15,90.0,0.025,0.0375,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.03,0.036000000000000004,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.035,0.034499999999999996,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.04,0.033,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.045,0.0315,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.05,0.03,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.055,0.028499999999999998,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.06,0.027,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.065,0.0255,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.07,0.023999999999999994,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.075,0.0225,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.08,0.020999999999999998,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.085,0.019499999999999997,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,145.0,0.025,0.06821820166083718,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.035,0.0627607455279702,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.045,0.057303289395103235,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.055,0.051845833262236254,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.065,0.04638837712936928,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.075,0.040930920996502314,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.085,0.03547346486363533,-0.8191520442889916,0.033759053022731585,0.2956886535448431
2,4,0.2,60.0,0.025,0.03500000000000001,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.035,0.033,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.045,0.031,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.055,0.028999999999999998,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.065,0.027000000000000003,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.075,0.025,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.085,0.023,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,75.0,0.025,0.05188266684282357,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.035,0.048917943023233636,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.045,0.04595321920364372,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.055,0.042988495384053804,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.065,0.04002377156446389,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.075,0.03705904774487397,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.085,0.03409432392528405,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.095,0.031129600105694134,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.105,0.028164876286104222,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.115,0.025200152466514303,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.125,0.02223542864692439,0.25881904510252074,0.027254154684672134,0.31919463326757624
