Z,A,E,Theta,omega,cross_section,E_omega,cos_Theta,E_ela,E_inela
2,4,0.15,60.0,0.02,6600.0,0.0195,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.025,8242.5,0.018749999999999996,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.03,12422.5,0.018,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.035,12080.0,0.01724999999999999,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,60.0,0.04,10205.0,0.016499999999999997,0.5000000000000001,0.011088441408675594,0.32410248676779324
2,4,0.15,75.0,0.025,2740.0,0.02779428580865547,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.03,5530.0,0.026682514376309252,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.035,6005.0,0.025570742943963026,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.04,5320.0,0.02445897151161681,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.045,4275.0,0.023347200079270596,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.05,3252.5,0.022235428646924377,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.055,2640.0,0.021123657214578154,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.06,2060.25,0.02001188578223194,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,75.0,0.065,1598.75,0.01890011434988572,0.2588190451025208,0.015871155674862077,0.31810815155417294
2,4,0.15,90.0,0.025,860.25,0.0375,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.03,2670.0,0.036000000000000004,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.035,3432.5,0.034499999999999996,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.04,3175.0,0.033,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.045,2672.5,0.0315,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.05,2129.25,0.03,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.055,1646.0,0.028499999999999998,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.06,1252.0,0.027,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.065,976.25,0.0255,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.07,853.5,0.023999999999999994,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.075,787.75,0.0225,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.08,657.5,0.020999999999999998,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,90.0,0.085,636.75,0.019499999999999997,6.123233995736766e-17,0.020650348302541366,0.3121182301274815
2,4,0.15,145.0,0.025,17.6025,0.06821820166083718,-0.8191520442889917,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.035,801.5,0.0627607455279702,-0.8191520442889917,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.045,825.0,0.057303289395103235,-0.8191520442889917,0.033759053022731585,0.2956886535448431
